anio_mes,pm25_promedio,pm10_promedio,no2_promedio,horas_con_dato
2020-01,,52.06354570637119,,0
2020-02,,51.16311890838207,,0
2020-03,13.412851182197496,,,719
2020-04,11.475166666666668,,,720
2020-05,16.521155913978493,,,744
2020-06,21.369359534206694,,,687
2020-07,28.93705035971223,,,695
2020-08,27.944720541401278,,,628
2020-09,30.464042013888893,,,720
2020-10,25.92920895522388,,,670
2020-11,24.89725,,,320
2020-12,24.587663934426228,,,732
2021-01,11.368494623655915,,,744
2021-02,21.507604166666667,,,672
2021-03,20.66727642276423,,,738
2021-04,27.019693165969315,,,717
2021-05,37.856302864938606,,,733
2021-06,32.0307264957265,,,702
2021-07,38.49734693877551,,,735
2021-08,35.64524324324324,,,740
2021-09,40.92910714285714,,,672
2021-10,34.08110215053763,,,744
2021-11,34.76122222222222,,,720
2021-12,35.09419831223629,66.88220048899755,,474
2022-01,26.71957359009629,57.273562585969735,,727
2022-02,28.422884615384618,65.43982371794871,,624
2022-03,26.576169354838708,51.70911290322581,,744
2022-04,32.531374474053294,51.88277699859747,,713
2022-05,51.6418682795699,81.59477150537634,,744
2022-06,51.47514685314686,66.02495104895104,,715
2022-07,54.199876543209875,78.84850480109739,,729
2022-08,56.22016326530612,80.70972789115646,,735
2022-09,50.45506588579795,74.32923865300147,,683
2022-10,46.928091397849464,71.07625,,744
2022-11,36.76408333333333,58.605111111111114,,720
2022-12,30.951693548387098,51.352782258064515,,744
